TIME,AMS CCS811 - TVOC,AMS CCS811 - eCO2,BH1730FVC - Light,Battery SCK,ICS43432 - Noise,MPL3115A2 - Barometric Pressure,SHT31 - Humidity,SHT31 - Temperature
time,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,
16:25:00+0100,76.0,902.0,950.0,90.5,50.185,101.33,45.165000000000006,20.995
16:26:00+0100,226.0,1576.0,951.75,90.25,44.214999999999996,101.33,45.1225,21.055
16:27:00+0100,,,,,,,,
16:28:00+0100,,,,,,,,
16:29:00+0100,,,,,,,,
16:30:00+0100,,,,,,,,
16:31:00+0100,,,,,,,,
16:32:00+0100,,,,,,,,
16:33:00+0100,,,,,,,,
16:34:00+0100,,,,,,,,
16:35:00+0100,,,,,,,,
16:36:00+0100,,,,,,,,
16:37:00+0100,,,,,,,,
16:38:00+0100,,,,,,,,
16:39:00+0100,,,,,,,,
16:40:00+0100,,,,,,,,
16:41:00+0100,,,,,,,,
16:42:00+0100,,,,,,,,
16:43:00+0100,,,,,,,,
16:44:00+0100,,,,,,,,
16:45:00+0100,,,,,,,,
16:46:00+0100,,,,,,,,
16:47:00+0100,,,,,,,,
16:48:00+0100,,,,,,,,
16:49:00+0100,,,451.5,98.83333333333333,63.38833333333334,101.36833333333334,43.98,23.376666666666665
16:50:00+0100,,,452.22222222222223,98.0,60.37444444444444,101.36222222222223,44.11222222222222,23.377777777777776
16:51:00+0100,,,445.8888888888889,98.0,62.25222222222222,101.35888888888888,44.181111111111115,23.37
16:52:00+0100,,,452.9,98.0,64.41900000000001,101.35900000000001,44.126999999999995,23.395999999999997
16:53:00+0100,,,453.2,98.0,65.043,101.358,44.163000000000004,23.333
16:54:00+0100,24.88888888888889,567.1111111111111,453.0,98.0,63.62777777777779,101.35888888888888,44.18888888888889,23.293333333333337
16:55:00+0100,28.875,591.5,453.5,98.0,60.344999999999985,101.355,44.25874999999999,23.27625
16:56:00+0100,29.0,592.0,451.0,98.0,59.42555555555556,101.35000000000001,44.349999999999994,23.184444444444445
16:57:00+0100,36.0,636.625,451.25,98.0,59.870000000000005,101.35000000000001,44.480000000000004,23.144999999999996
16:58:00+0100,39.0,659.6666666666666,450.8333333333333,98.0,60.146666666666675,101.35000000000001,44.48333333333333,23.115
16:59:00+0100,35.0,631.0,451.5,98.0,57.987500000000004,101.35,44.5475,23.119999999999997
17:00:00+0100,38.333333333333336,655.1666666666666,452.5833333333333,98.0,61.37083333333334,101.34916666666668,44.415,23.171666666666667
17:01:00+0100,39.0,660.0,452.25,98.0,65.45,101.34416666666668,44.550000000000004,23.08083333333333
17:02:00+0100,37.36363636363637,648.5454545454545,452.1818181818182,98.0,61.349090909090904,101.34818181818183,44.58272727272727,23.04272727272727
17:03:00+0100,32.833333333333336,617.6666666666666,452.0833333333333,98.0,57.607499999999995,101.34750000000001,44.637499999999996,22.978333333333335
17:04:00+0100,35.333333333333336,632.8333333333334,449.25,98.0,53.45083333333334,101.35000000000001,44.82083333333335,22.897500000000004
17:05:00+0100,36.833333333333336,642.0,449.8333333333333,98.0,50.38916666666666,101.35000000000001,44.79833333333334,22.88
17:06:00+0100,34.5,629.6666666666666,449.5,98.0,54.770833333333336,101.35166666666667,44.96,22.825833333333332
17:07:00+0100,33.083333333333336,623.3333333333334,454.1666666666667,98.0,45.93166666666667,101.355,45.073333333333345,22.73
17:08:00+0100,33.0,623.0,448.5,98.0,45.410833333333336,101.35666666666667,45.275,22.62
17:09:00+0100,33.90909090909091,623.9090909090909,449.1818181818182,97.81818181818181,48.33545454545454,101.36,45.357272727272736,22.596363636363638
17:10:00+0100,34.0,624.0,445.0,97.0,45.66,101.36,45.38,22.58
